State Name,Dist Name,SOIL TYPE PERCENT (Percent)
Chhattisgarh,Durg,LOAMY ALFISOLS - 60% ; USTALF/USTOLLS - 40%
Chhattisgarh,Bastar,LOAMY ALFISOL - 100%
Chhattisgarh,Raipur,USTALF/USTOLLS - 50% ; LOAMY ALFISOLS - 25% ; VERTISOLS - 15%
Chhattisgarh,Bilaspur,USTALF/USTOLLS - 100%
Chhattisgarh,Raigarh,USTALF/USTOLLS - 100%
Chhattisgarh,Surguja,USTALF/USTOLLS - 100%
Madhya Pradesh,Jabalpur,VERTIC SOILS - 85% ; VERTISOLS - 15%
Madhya Pradesh,Balaghat,VERTIC SOILS - 85% ; VERTISOLS - 15%
Madhya Pradesh,Chhindwara,VERTIC SOILS - 85% ; VERTISOLS - 15%
Madhya Pradesh,Narsinghpur,VERTISOLS - 80% ; VERTIC SOILS - 20%
Madhya Pradesh,Seoni / Shivani,VERTIC SOILS - 85% ; VERTISOLS - 15%
Madhya Pradesh,Mandla,VERTIC SOILS - 85% ; VERTISOLS - 15%
Madhya Pradesh,Sagar,VERTIC SOILS - 50% ; VERTISOLS - 50%
Madhya Pradesh,Damoh,VERTIC SOILS - 60% ; VERTISOLS - 40%
Madhya Pradesh,Tikamgarh,VERTIC SOILS - 100%
Madhya Pradesh,Chhatarpur,VERTIC SOILS - 80% ; INCEPTISOLS - 20%
Madhya Pradesh,Panna,VERTIC SOILS - 100%
Madhya Pradesh,Rewa,VERTIC SOILS - 60% ; INCEPTISOLS - 25% ; USTALF/USTOLLS - 15%
Madhya Pradesh,Sidhi,USTALF/USTOLLS - 75% ; VERTIC SOILS - 25%
Madhya Pradesh,Satna,VERTIC SOILS - 100%
Madhya Pradesh,Shahdol,VERTIC SOILS - 60% ; USTALF/USTOLLS - 40%
Madhya Pradesh,Gwalior,VERTIC SOILS - 100%
Madhya Pradesh,Shivpuri,VERTIC SOILS - 100%
Madhya Pradesh,Guna,VERTIC SOILS - 100%
Madhya Pradesh,Datia,VERTIC SOILS - 100%
Madhya Pradesh,Morena,VERTIC SOILS - 100%
Madhya Pradesh,Bhind,VERTIC SOILS - 100%
Madhya Pradesh,Indore,VERTIC SOILS - 100%
Madhya Pradesh,Ratlam,VERTIC SOILS - 100%
Madhya Pradesh,Ujjain,VERTIC SOILS - 100%
Madhya Pradesh,Mandsaur,VERTIC SOILS - 100%
Madhya Pradesh,Dewas,VERTIC SOILS - 100%
Madhya Pradesh,Dhar,VERTIC SOILS - 100%
Madhya Pradesh,Jhabua,VERTIC SOILS - 100%
Madhya Pradesh,Khargone / West Nimar,VERTIC SOILS - 100%
Madhya Pradesh,Khandwa / East Nimar,VERTIC SOILS - 100%
Madhya Pradesh,Sehore,VERTIC SOILS - 60% ; VERTISOLS - 40%
Madhya Pradesh,Raisen,VERTIC SOILS - 80% ; VERTISOLS - 20%
Madhya Pradesh,Vidisha,VERTIC SOILS - 60% ; VERTISOLS - 40%
Madhya Pradesh,Betul,VERTIC SOILS - 85% ; VERRTISOLS - 15%
Madhya Pradesh,Rajgarh,VERTIC SOILS - 100%
Madhya Pradesh,Shajapur,VERTIC SOILS - 90% ; VERTISOLS - 10%
Madhya Pradesh,Hoshangabad,VERTIC SOILS - 100%
Andhra Pradesh,Srikakulam,ORTHIDS - 100%
Andhra Pradesh,Visakhapatnam,ORTHIDS - 50% ; SANDY ALFISOL - 50%
Andhra Pradesh,East Godavari,ORTHIDS - 65% ; SANDY ALFISOL - 35%
Andhra Pradesh,West Godavari,ORTHIDS - 50% ; SANDY ALFISOL - 50%
Andhra Pradesh,Krishna,ORTHIDS - 50% ; LOAMY ALFISOLS - 50%
