Year,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons)
1966,Chhattisgarh,Durg,548,185,44,20,0.9,1.6
1967,Chhattisgarh,Durg,547,409,50,26,0.8,1.2
1968,Chhattisgarh,Durg,556.3,468,53.7,30,1,1
1969,Chhattisgarh,Durg,563.4,400.8,49.4,26.5,1,1.9
1970,Chhattisgarh,Durg,571.6,473.6,44.2,29,0.7,1.4
1971,Chhattisgarh,Durg,581.8,412.9,44.4,25.8,0.5,1
1972,Chhattisgarh,Durg,582.2,381,39.6,20.6,0.5,1
1973,Chhattisgarh,Durg,600,471.9,37.3,18.6,0.2,1.2
1974,Chhattisgarh,Durg,587.4,219,36.5,22.4,0.8,1.5
1975,Chhattisgarh,Durg,598.3,454,49.2,27.8,0.8,1.4
1976,Chhattisgarh,Durg,593.6,327.1,46.9,10,0.6,0.8
1977,Chhattisgarh,Durg,600.7,572.4,53.1,27.1,0.1,0.3
1978,Chhattisgarh,Durg,612.5,362.2,48.7,25.6,0.1,0.2
1979,Chhattisgarh,Durg,616.8,330.6,44.6,17.8,0.1,0.1
1980,Chhattisgarh,Durg,634.9,515.6,44.1,33.6,0.1,0.1
1981,Chhattisgarh,Durg,630,506.9,41.5,23.6,0.1,0.1
1982,Chhattisgarh,Durg,627.9,513.3,41.1,23.9,0.1,0.2
1983,Chhattisgarh,Durg,626.7,711,39.9,20.6,0.2,0.3
1984,Chhattisgarh,Durg,632.2,563.8,40.5,19.9,0.3,0.5
1985,Chhattisgarh,Durg,630.8,699.8,39.4,21,0.3,0.3
1986,Chhattisgarh,Durg,643,525,37,24,0.4,0.5
1987,Chhattisgarh,Durg,648,523,43,23,0.1,0.3
1988,Chhattisgarh,Durg,652.7,549.7,43.7,20.2,0.2,0.5
1989,Chhattisgarh,Durg,660.2,457.3,43.8,22.7,0.4,0.7
1990,Chhattisgarh,Durg,682.9,806.8,36.2,24.8,0.07,0.1
1991,Chhattisgarh,Durg,680.8,773.6,34.8,21.6,0.46,0.9
1992,Chhattisgarh,Durg,688,777.3,56.1,20.5,0.35,0.6
1993,Chhattisgarh,Durg,703.6,876.7,33.8,23.8,0.45,0.8
1994,Chhattisgarh,Durg,726.8,967.9,36.5,29.4,0.4,0.7
1995,Chhattisgarh,Durg,723.3,1052,37.1,26.5,0.5,0.8
1996,Chhattisgarh,Durg,710.9,917.2,36.2,29.1,0.6,1.1
1997,Chhattisgarh,Durg,735.7,837.5,35.6,18.3,0.48,0.9
1998,Chhattisgarh,Durg,786.51,684.62,39.96,24.84,1.17,2.27
1999,Chhattisgarh,Durg,769.79,963.04,0,0,1.03,3.43
2000,Chhattisgarh,Durg,748.76,467.89,29.9,17.59,0.93,0.17
2001,Chhattisgarh,Durg,756.26,978.69,34.33,24.11,1.14,0.21
2002,Chhattisgarh,Durg,753.41,484.9,33.25,25.09,1.42,0.29
2003,Chhattisgarh,Durg,766.58,1145.82,37.99,29.58,1.99,0.41
2004,Chhattisgarh,Durg,775.99,984.31,36.43,23.19,3.14,0.65
2005,Chhattisgarh,Durg,775.99,984.31,36.43,23.19,3.14,0.65
2006,Chhattisgarh,Durg,781.7,1177.1,36.81,26.62,6.83,0.72
2007,Chhattisgarh,Durg,799.89,1095.84,37.32,34.38,9.84,1.21
2008,Chhattisgarh,Durg,803.37,704.09,36.46,31.19,7.54,0.84
2009,Chhattisgarh,Durg,789.04,622.05,42.44,38.12,7.13,1.65
2010,Chhattisgarh,Durg,777.92,1319.18,46.12,45.87,4.42,1.13
2011,Chhattisgarh,Durg,806.55,1416.48,44.98,50.19,4.07,2.06
2012,Chhattisgarh,Durg,807.07,1534.22,43.87,47.69,4.97,1.26
2013,Chhattisgarh,Durg,819.44,1296.24,41.54,43.33,3.94,0.93
2014,Chhattisgarh,Durg,834.87,1444.24,44.25,50.96,5.75,3.46
2015,Chhattisgarh,Durg,817.68,880.6,48.72,54.6,11.23,2.57
2016,Chhattisgarh,Durg,858.91,1791.66,48.94,61.84,18.52,7.21
2017,Chhattisgarh,Durg,841.13,983.21,43.5,50.19,19.85,3.59
1966,Chhattisgarh,Bastar,406,261,2,1,0.7,2.4
1967,Chhattisgarh,Bastar,414,319,2,1,0.9,2.8
1968,Chhattisgarh,Bastar,423.2,294,2.3,1,1.2,3.7
1969,Chhattisgarh,Bastar,429.1,329,2.3,1.5,1.2,4.1
1970,Chhattisgarh,Bastar,437.7,316.8,2.4,1.9,1.1,3.8
1971,Chhattisgarh,Bastar,445.6,366.6,2.5,1.5,1.2,3.8
1972,Chhattisgarh,Bastar,443.1,285.8,2.7,1.7,1.1,3.7
1973,Chhattisgarh,Bastar,450.5,364.3,2.6,1.9,1.2,4
1974,Chhattisgarh,Bastar,451.6,302.9,2.4,2,1.2,3.7
1975,Chhattisgarh,Bastar,458.3,407.9,3.7,2.9,1.1,3.7
1976,Chhattisgarh,Bastar,459.6,296.1,3.3,2.2,0.9,2.9
1977,Chhattisgarh,Bastar,473.4,430.4,3.3,2.6,0.8,2.5
1978,Chhattisgarh,Bastar,490.4,402.2,3,2.8,0.8,2.8
1979,Chhattisgarh,Bastar,497.5,309.2,3,2.4,0.7,1.7
1980,Chhattisgarh,Bastar,519.4,391.8,2.9,3.1,0.5,1.7
1981,Chhattisgarh,Bastar,523.5,389.3,3,3.3,0.6,2.1
1982,Chhattisgarh,Bastar,527.7,372.4,3.2,3.9,0.6,2.1
1983,Chhattisgarh,Bastar,538,408,2.9,2.7,0.8,2.8
1984,Chhattisgarh,Bastar,533.4,395.6,2.8,3,0.8,2.6
1985,Chhattisgarh,Bastar,555.4,834.3,2.6,2.6,0.2,0.6
1986,Chhattisgarh,Bastar,556,403,3,3,0.4,1.4
1987,Chhattisgarh,Bastar,555,382,3,2,0.1,0.4
1988,Chhattisgarh,Bastar,572.8,553.2,2.8,3,0.2,0.6
