Year,State Name,Dist Name,ANNUAL RAINFALL (Millimeters)
1966,Chhattisgarh,Durg,769.8
1967,Chhattisgarh,Durg,1263.5
1968,Chhattisgarh,Durg,1172.3
1969,Chhattisgarh,Durg,929
1970,Chhattisgarh,Durg,1484.3
1971,Chhattisgarh,Durg,1387.3
1972,Chhattisgarh,Durg,1046.9
1973,Chhattisgarh,Durg,1483
1974,Chhattisgarh,Durg,584.9
1975,Chhattisgarh,Durg,1262.5
1976,Chhattisgarh,Durg,938
1977,Chhattisgarh,Durg,1042.6
1978,Chhattisgarh,Durg,1129.1
1979,Chhattisgarh,Durg,859.9
1980,Chhattisgarh,Durg,1357.3
1981,Chhattisgarh,Durg,947.6
1982,Chhattisgarh,Durg,841.6
1983,Chhattisgarh,Durg,1073.2
1984,Chhattisgarh,Durg,1102.2
1985,Chhattisgarh,Durg,994.8
1986,Chhattisgarh,Durg,1112.7
1987,Chhattisgarh,Durg,742.6
1988,Chhattisgarh,Durg,650.1
1989,Chhattisgarh,Durg,-1
1990,Chhattisgarh,Durg,1309.7
1991,Chhattisgarh,Durg,764.9
1992,Chhattisgarh,Durg,923.2
1993,Chhattisgarh,Durg,887.7
1994,Chhattisgarh,Durg,1462.9
1995,Chhattisgarh,Durg,1350.6
1996,Chhattisgarh,Durg,1289.7
1997,Chhattisgarh,Durg,1586.7
1998,Chhattisgarh,Durg,1313.5
1999,Chhattisgarh,Durg,1766
2002,Chhattisgarh,Durg,-1
2004,Chhattisgarh,Durg,997.9
2005,Chhattisgarh,Durg,1103.9
2006,Chhattisgarh,Durg,886.4
2007,Chhattisgarh,Durg,1068.5
2008,Chhattisgarh,Durg,904.8
2009,Chhattisgarh,Durg,695.7
2010,Chhattisgarh,Durg,1149.7
2011,Chhattisgarh,Durg,1282.3
2012,Chhattisgarh,Durg,1092.1
2013,Chhattisgarh,Durg,1568
2014,Chhattisgarh,Durg,1379.7
2015,Chhattisgarh,Durg,1008.7
1966,Chhattisgarh,Bastar,1210
1967,Chhattisgarh,Bastar,1478.1
1968,Chhattisgarh,Bastar,1330.5
1969,Chhattisgarh,Bastar,1538.1
1970,Chhattisgarh,Bastar,1659.9
1971,Chhattisgarh,Bastar,1299.9
1972,Chhattisgarh,Bastar,1303.5
1973,Chhattisgarh,Bastar,1287.8
1974,Chhattisgarh,Bastar,933.1
1975,Chhattisgarh,Bastar,1829.2
1976,Chhattisgarh,Bastar,1490.2
1977,Chhattisgarh,Bastar,1778.4
1978,Chhattisgarh,Bastar,1768.1
1979,Chhattisgarh,Bastar,1280.4
1980,Chhattisgarh,Bastar,1656.7
1981,Chhattisgarh,Bastar,1417.6
1982,Chhattisgarh,Bastar,1479.2
1983,Chhattisgarh,Bastar,1538.9
1984,Chhattisgarh,Bastar,1018.6
1985,Chhattisgarh,Bastar,1389.7
1986,Chhattisgarh,Bastar,1711.6
1987,Chhattisgarh,Bastar,1448.5
1988,Chhattisgarh,Bastar,1419.9
1989,Chhattisgarh,Bastar,1852.9
1990,Chhattisgarh,Bastar,1824.3
1991,Chhattisgarh,Bastar,1204.8
1992,Chhattisgarh,Bastar,1378.4
1993,Chhattisgarh,Bastar,1157.1
1994,Chhattisgarh,Bastar,1739.2
1995,Chhattisgarh,Bastar,1472.8
1996,Chhattisgarh,Bastar,1181.5
1997,Chhattisgarh,Bastar,1235.6
1998,Chhattisgarh,Bastar,990.1
1999,Chhattisgarh,Bastar,1429.7
2002,Chhattisgarh,Bastar,-1
2004,Chhattisgarh,Bastar,1644.2
2005,Chhattisgarh,Bastar,1419.1
2006,Chhattisgarh,Bastar,1709.8
2007,Chhattisgarh,Bastar,1259.2
2008,Chhattisgarh,Bastar,1398.3
2009,Chhattisgarh,Bastar,1030.9
2010,Chhattisgarh,Bastar,1623.2
2011,Chhattisgarh,Bastar,1160.5
2012,Chhattisgarh,Bastar,1542.6
2013,Chhattisgarh,Bastar,1434.5
2014,Chhattisgarh,Bastar,1476.6
2015,Chhattisgarh,Bastar,1538.5
1966,Chhattisgarh,Raipur,941.5
1967,Chhattisgarh,Raipur,1409.5
1968,Chhattisgarh,Raipur,1077.4
1969,Chhattisgarh,Raipur,937.1
1970,Chhattisgarh,Raipur,1707.2
1971,Chhattisgarh,Raipur,1344.9
1972,Chhattisgarh,Raipur,1073.3
1973,Chhattisgarh,Raipur,1420.5
1974,Chhattisgarh,Raipur,769.7
1975,Chhattisgarh,Raipur,1187.6
1976,Chhattisgarh,Raipur,1119.9
1977,Chhattisgarh,Raipur,1167.6
1978,Chhattisgarh,Raipur,1055.7
1979,Chhattisgarh,Raipur,753
1980,Chhattisgarh,Raipur,1437.5
1981,Chhattisgarh,Raipur,1139.5
1982,Chhattisgarh,Raipur,966.2
1983,Chhattisgarh,Raipur,1045.8
1984,Chhattisgarh,Raipur,1128.5
1985,Chhattisgarh,Raipur,1110.3
1986,Chhattisgarh,Raipur,1226.1
1987,Chhattisgarh,Raipur,900.4
1988,Chhattisgarh,Raipur,765.8
1989,Chhattisgarh,Raipur,1118
1990,Chhattisgarh,Raipur,1541.3
1991,Chhattisgarh,Raipur,1007.2
